"item_id","root_name","disease_id","disease_name","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","weight"
"41","Fruit Salad",35,"Coronary Disease",915,21,"Potential and limitations of health policy to improve coronary heart disease prevention and to reduce the burden of disease: A Russian experience.","Pogosova N, Oganov R, Saner H, Suvorov S, Sokolova O","https://pubmed.ncbi.nlm.nih.gov/29635927/","29635927","https://doi.org/10.1177/2047487318768030","10.1177/2047487318768030","No PMC available",,"Journal Article, Multicenter Study",3
"41","Fruit Salad",35,"Coronary Disease",915,22,"Dyslipoproteinemia in the elderly. Special considerations.","Luepker RV","https://pubmed.ncbi.nlm.nih.gov/2192881/","2192881","No DOI available",,"No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,23,"Dietary fiber and health. AMA council on Scientific Affairs.","","https://pubmed.ncbi.nlm.nih.gov/2558005/","2558005","No DOI available",,"No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,24,"Traditional Greek diet and coronary heart disease.","Trichopoulou A, Lagiou P, Trichopoulos D","https://pubmed.ncbi.nlm.nih.gov/7614424/","7614424","No DOI available",,"No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,25,"Diet and coronary heart disease--a review.","Hughes K","https://pubmed.ncbi.nlm.nih.gov/7653964/","7653964","No DOI available",,"No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,26,"Insights into the pathogenesis and prevention of coronary artery disease.","O'Keefe JH Jr, Lavie CJ Jr, McCallister BD","https://pubmed.ncbi.nlm.nih.gov/7808056/","7808056","https://doi.org/10.1016/S0025-6196(11)64669-7","10.1016/S0025-6196(11)64669-7","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,27,"Diet and health: what should we eat?","Willett WC","https://pubmed.ncbi.nlm.nih.gov/8160011/","8160011","https://doi.org/10.1126/science.8160011","10.1126/science.8160011","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,28,"What accounts for the association of vegetables and fruits with lower incidence of cancers and coronary heart disease?","Omenn GS","https://pubmed.ncbi.nlm.nih.gov/8520718/","8520718","https://doi.org/10.1016/1047-2797(95)90014-4","10.1016/1047-2797(95)90014-4","No PMC available",,"Comment, Editorial, Research Support, U.S. Gov't, P.H.S., Review",2
"41","Fruit Salad",35,"Coronary Disease",915,29,"Cost-effectiveness analysis in diagnosis of cardiac disease: overview of its rationale and method.","Patterson RE","https://pubmed.ncbi.nlm.nih.gov/8799253/","8799253","https://doi.org/10.1016/s1071-3581(96)90094-x","10.1016/s1071-3581(96)90094-x","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,30,"Wine as a biological fluid: history, production, and role in disease prevention.","Soleas GJ, Diamandis EP, Goldberg DM","https://pubmed.ncbi.nlm.nih.gov/9292395/","9292395","https://doi.org/10.1002/(SICI)1098-2825(1997)11:5&#x0003c;287::AID-JCLA6&#x0003e;3.0.CO;2-4","10.1002/(SICI)1098-2825(1997)11:5&#x0003c;287::AID-JCLA6&#x0003e;3.0.CO;2-4","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6760744/","PMC6760744","Historical Article, Journal Article, Review",2
